epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.687,0.3612,0.34188,0.82247,0.99457,0.9852,0.99487,0.92782,0.31724,0.27854,0.75781,0.000462281,0.000462281,0.000462281
43,142.341,0.36866,0.34765,0.81679,0.99642,0.98193,0.99438,0.93721,0.3101,0.2688,0.75658,0.000438703,0.000438703,0.000438703
44,144.962,0.3577,0.33725,0.82032,0.98179,0.99548,0.99487,0.93849,0.30398,0.26136,0.7556,0.000415124,0.000415124,0.000415124
45,147.556,0.35569,0.33012,0.81303,0.98218,0.99609,0.99487,0.93418,0.31464,0.26873,0.75523,0.000391546,0.000391546,0.000391546
46,150.263,0.35637,0.3346,0.8153,0.99449,0.98587,0.99474,0.94468,0.30097,0.25508,0.75457,0.000367967,0.000367967,0.000367967
47,153.797,0.34701,0.32477,0.81933,0.99705,0.98686,0.99474,0.93681,0.30531,0.25331,0.7571,0.000344389,0.000344389,0.000344389
48,156.709,0.34843,0.32602,0.8151,0.99605,0.98612,0.99462,0.93012,0.30632,0.25626,0.75567,0.00032081,0.00032081,0.00032081
49,159.33,0.35703,0.32319,0.81201,0.99437,0.98498,0.99474,0.93928,0.30085,0.25119,0.75403,0.000297232,0.000297232,0.000297232
50,161.896,0.33799,0.32051,0.81422,0.99765,0.98167,0.99474,0.9394,0.30991,0.25255,0.75569,0.000273654,0.000273654,0.000273654
51,167.268,0.35105,0.36633,0.81113,0.99663,0.98245,0.99474,0.93098,0.31494,0.27594,0.75491,0.000250075,0.000250075,0.000250075
52,170.073,0.34022,0.34468,0.80633,0.996,0.98367,0.99462,0.93613,0.31101,0.29308,0.7532,0.000226497,0.000226497,0.000226497
53,172.604,0.34516,0.33428,0.81011,0.99535,0.98533,0.99462,0.93234,0.30748,0.27689,0.75354,0.000202918,0.000202918,0.000202918
54,175.192,0.32604,0.32161,0.79751,0.99292,0.98721,0.99474,0.93367,0.30096,0.27191,0.75189,0.00017934,0.00017934,0.00017934
55,177.887,0.33608,0.32563,0.80636,0.99278,0.98603,0.99474,0.93623,0.309,0.2799,0.75295,0.000155761,0.000155761,0.000155761
56,181.463,0.34249,0.32084,0.80509,0.99547,0.98309,0.99474,0.93106,0.31137,0.2645,0.75475,0.000132183,0.000132183,0.000132183
57,184.143,0.32766,0.30904,0.80164,0.99689,0.98193,0.99474,0.9415,0.3047,0.25693,0.75453,0.000108604,0.000108604,0.000108604
58,186.69,0.3213,0.30146,0.80572,0.99669,0.98193,0.99474,0.93357,0.30816,0.26064,0.7538,8.50255e-05,8.50255e-05,8.50255e-05
59,189.294,0.31141,0.30002,0.80142,0.99624,0.98205,0.99474,0.93409,0.30082,0.25669,0.75231,6.1447e-05,6.1447e-05,6.1447e-05
60,192.758,0.32927,0.30817,0.80634,0.99627,0.98196,0.99474,0.935,0.29912,0.24925,0.75192,3.78685e-05,3.78685e-05,3.78685e-05
